"","index","Node","Country","Technology","Capacity our work"
"280","184","DE4","DE","Wind Offshore","288"
"281","185","DE4","DE","Wind Offshore","385"
"282","186","DE4","DE","Wind Offshore","48.3"
"283","187","DE4","DE","Wind Offshore","350"
"284","188","DE4","DE","Wind Offshore","257"
"285","189","DE4","DE","Wind Offshore","476.25"
"286","190","UK_D","UK","Wind Offshore","4100"
"287","0","BE1","BE","Biofuels","0"
"288","1","BE2","BE","Biofuels","903.6"
"289","2","DE1","DE","Biofuels","596.7924017815595"
"290","3","DE2","DE","Biofuels","687.2517117596225"
"291","4","DE3","DE","Biofuels","1089.3490061822774"
"292","5","DE4","DE","Biofuels","5197.006880276541"
"293","6","DK1","DK","Biofuels","2240.479"
"294","7","NL1","NL","Biofuels","87.00219218122032"
"295","8","NL2","NL","Biofuels","87.00219218122032"
"296","9","NL3","NL","Biofuels","988.9934234563391"
"297","10","NL4","NL","Biofuels","87.00219218122032"
"298","11","NO1","NO","Biofuels","0.003"
"299","12","UK1","UK","Biofuels","468.7196239273093"
"300","13","UK2","UK","Biofuels","4107.579227662797"
"301","14","UK3","UK","Biofuels","459.96785714285716"
"302","15","UK4","UK","Biofuels","1403.283291267037"
